heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,353,50,5,0.0009,1000,578,0.9
monotona,353,50,6,0.0013,1000,506,0.9
monotona,353,50,7,0.0012,1000,524,0.9
monotona,353,50,8,0.0008,1000,664,0.9
monotona,353,50,9,0.0010,1000,536,0.9
monotona,353,50,10,0.0019,1000,484,0.9
monotona,2500,50,1,0.0014,1000,3452,0.1
monotona,2500,50,2,0.0005,1000,3362,0.1
monotona,2500,50,3,0.0010,1000,3093,0.1
monotona,2500,50,4,0.0010,1000,3949,0.1
monotona,2500,50,5,0.0008,1000,3434,0.1
monotona,2500,50,6,0.0009,1000,3558,0.1
monotona,2500,50,7,0.0006,1000,3849,0.1
monotona,2500,50,8,0.0012,1000,3392,0.1
monotona,2500,50,9,0.0006,1000,3371,0.1
monotona,2500,50,10,0.0007,1000,3767,0.1
monotona,2500,50,1,0.0090,1000,2972,0.2
monotona,2500,50,2,0.0055,1000,2923,0.2
monotona,2500,50,3,0.0073,1000,2871,0.2
monotona,2500,50,4,0.0029,1000,3252,0.2
monotona,2500,50,5,0.0045,1000,3020,0.2
monotona,2500,50,6,0.0029,1000,3237,0.2
monotona,2500,50,7,0.0068,1000,2851,0.2
monotona,2500,50,8,0.0031,1000,2990,0.2
monotona,2500,50,9,0.0025,1000,2972,0.2
monotona,2500,50,10,0.0032,1000,3164,0.2
monotona,2500,50,1,0.0120,1000,2881,0.3
monotona,2500,50,2,0.0085,1000,2960,0.3
monotona,2500,50,3,0.0055,1000,3074,0.3
monotona,2500,50,4,0.0029,1000,3300,0.3
monotona,2500,50,5,0.0041,1000,3177,0.3
monotona,2500,50,6,0.0101,1000,3003,0.3
monotona,2500,50,7,0.0027,1000,3103,0.3
monotona,2500,50,8,0.0082,1000,3103,0.3
monotona,2500,50,9,0.0049,1000,3320,0.3
monotona,2500,50,10,0.0028,1000,3086,0.3
monotona,2500,50,1,0.0047,1000,3193,0.4
monotona,2500,50,2,0.0120,1000,2912,0.4
monotona,2500,50,3,0.0123,1000,2944,0.4
monotona,2500,50,4,0.0053,1000,3009,0.4
monotona,2500,50,5,0.0082,1000,2971,0.4
monotona,2500,50,6,0.0135,1000,2912,0.4
