Heuristica,N,M,Replicacao,Tempo,Iteracoes,Valor,Parametro
nmlrs,400,20,10,0.0010,1000,1282,0.2
nmlrs,400,20,1,0.0005,1000,1124,0.3
nmlrs,400,20,2,0.0000,1000,1217,0.3
nmlrs,400,20,3,0.0000,1000,1172,0.3
nmlrs,400,20,4,0.0000,1000,1161,0.3
nmlrs,400,20,5,0.0000,1000,1158,0.3
nmlrs,400,20,6,0.0000,1000,1234,0.3
nmlrs,400,20,7,0.0000,1000,1116,0.3
nmlrs,400,20,8,0.0000,1000,1124,0.3
nmlrs,400,20,9,0.0000,1000,1185,0.3
nmlrs,400,20,10,0.0000,1000,1129,0.3
nmlrs,400,20,1,0.0000,1000,1336,0.4
nmlrs,400,20,2,0.0000,1000,1158,0.4
nmlrs,400,20,3,0.0000,1000,1214,0.4
nmlrs,400,20,4,0.0000,1000,1240,0.4
nmlrs,400,20,5,0.0083,1000,1164,0.4
nmlrs,400,20,6,0.0000,1000,1156,0.4
nmlrs,400,20,7,0.0010,1000,1276,0.4
nmlrs,400,20,8,0.0000,1000,1291,0.4
nmlrs,400,20,9,0.0013,1000,1197,0.4
nmlrs,400,20,10,0.0000,1000,1128,0.4
nmlrs,400,20,1,0.0000,1000,1134,0.5
nmlrs,400,20,2,0.0000,1000,1125,0.5
nmlrs,400,20,3,0.0000,1000,1188,0.5
nmlrs,400,20,4,0.0000,1000,1095,0.5
nmlrs,400,20,5,0.0051,1000,1133,0.5
nmlrs,400,20,6,0.0000,1000,1138,0.5
nmlrs,400,20,7,0.0000,1000,1133,0.5
nmlrs,400,20,8,0.0025,1000,1182,0.5
nmlrs,400,20,9,0.0010,1000,1167,0.5
nmlrs,400,20,10,0.0000,1000,1156,0.5
nmlrs,400,20,1,0.0000,1000,1114,0.6
nmlrs,400,20,2,0.0038,1000,1073,0.6
nmlrs,400,20,3,0.0000,1000,1183,0.6
nmlrs,400,20,4,0.0000,1000,1158,0.6
nmlrs,400,20,5,0.0000,1000,1327,0.6
nmlrs,400,20,6,0.0000,1000,1144,0.6
nmlrs,400,20,7,0.0000,1000,1208,0.6
nmlrs,400,20,8,0.0000,1000,1412,0.6
nmlrs,400,20,9,0.0000,1000,1062,0.6
nmlrs,400,20,10,0.0056,1000,1079,0.6
nmlrs,400,20,1,0.0005,1000,1259,0.7
nmlrs,400,20,2,0.0012,1000,1244,0.7
nmlrs,400,20,3,0.0000,1000,1183,0.7
nmlrs,400,20,4,0.0010,1000,1113,0.7
nmlrs,400,20,5,0.0000,1000,1367,0.7
nmlrs,400,20,6,0.0000,1000,1168,0.7
nmlrs,400,20,7,0.0000,1000,1089,0.7
nmlrs,400,20,8,0.0034,1000,1200,0.7
nmlrs,400,20,9,0.0000,1000,1174,0.7
nmlrs,400,20,10,0.0000,1000,1213,0.7
nmlrs,400,20,1,0.0000,1000,1120,0.8
nmlrs,400,20,2,0.0000,1000,1458,0.8
nmlrs,400,20,3,0.0039,1000,1250,0.8
nmlrs,400,20,4,0.0005,1000,1217,0.8
nmlrs,400,20,5,0.0000,1000,1231,0.8
nmlrs,400,20,6,0.0000,1000,1153,0.8
nmlrs,400,20,7,0.0000,1000,1171,0.8
nmlrs,400,20,8,0.0000,1000,1323,0.8
nmlrs,400,20,9,0.0000,1000,1139,0.8
nmlrs,400,20,10,0.0000,1000,1363,0.8
nmlrs,400,20,1,0.0000,1000,1172,0.9
nmlrs,400,20,2,0.0078,1000,1109,0.9
nmlrs,400,20,3,0.0013,1000,1220,0.9
nmlrs,400,20,4,0.0000,1000,1157,0.9
nmlrs,400,20,5,0.0013,1000,1267,0.9
nmlrs,400,20,6,0.0000,1000,1146,0.9
nmlrs,400,20,7,0.0000,1000,1277,0.9
nmlrs,400,20,8,0.0000,1000,1348,0.9
nmlrs,400,20,9,0.0000,1000,1095,0.9
